TÃªn chiáº¿n dá»ch,TÃªn quáº£ng cÃ¡o,NgÃ y,Sá» tiá»n ÄÃ£ chi tiÃªu (VND),LÆ°á»£t báº¯t Äáº§u cuá»c trÃ² chuyá»n qua tin nháº¯n,NgÆ°á»i tiáº¿p cáº­n,LÆ°á»£t hiá»n thá»,Táº§n suáº¥t,LÆ°á»£t click vÃ o áº£nh,LÆ°á»£t phÃ¡t video trong tá»i thiá»u 3 giÃ¢y,ThruPlay,LÆ°á»£t bÃ y tá» cáº£m xÃºc vá» bÃ i viáº¿t,BÃ¬nh luáº­n vá» bÃ i viáº¿t,LÆ°á»£t chia sáº» bÃ i viáº¿t,LÆ°á»£t lÆ°u bÃ i viáº¿t,LÆ°á»£t thÃ­ch trÃªn Facebook,LÆ°á»£t click vÃ o liÃªn káº¿t,LÆ°á»£t báº¯t Äáº§u bÃ¡o cÃ¡o,LÆ°á»£t káº¿t thÃºc bÃ¡o cÃ¡o
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260506 - 1448790803931101,2026-05-21,519,,2,2,1,,2,1,,,,,,,2026-05-21,2026-05-21
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-05-21,34408,1,217,237,"1,0921659",,54,13,1,1,,,,2,2026-05-21,2026-05-21
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260521 - 122137043103138166,2026-05-21,233,,4,4,1,,,,,,,,,,2026-05-21,2026-05-21
S03 - PD x AKIA - Message,Qrevo C Pro - 260423 - 1394234822721855,2026-05-21,23507,,120,123,"1,025",,38,7,,,,,,1,2026-05-21,2026-05-21
S03 - PD x MiSmart - Message,Qrevo C Pro - 260520 - 122274120008062219,2026-05-21,27962,,207,305,"1,47342995",,69,12,,,,,,3,2026-05-21,2026-05-21
S03 - PD x AKIA - Message,F25 Ultra - 260521 - 1418879766924027,2026-05-21,196,,3,3,1,,1,,,,,,,,2026-05-21,2026-05-21
S03 - PD x MiSmart - Message,Qrevo C Pro - 260520 - 122274108344062219,2026-05-21,13440,,123,156,"1,26829268",,25,8,,,,,,1,2026-05-21,2026-05-21
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134480665138166,2026-05-21,38058,3,412,426,"1,03398058",,202,72,,,,,,2,2026-05-21,2026-05-21
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134487067138166,2026-05-21,1182,,16,16,1,,3,1,,,,,,,2026-05-21,2026-05-21
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260506 - 1448683327275182,2026-05-21,39707,,520,643,"1,23653846",,125,29,1,,,,,10,2026-05-21,2026-05-21
S03 - PD x AKIA - Message,Qrevo C Pro - 260421 - 1392541482891189,2026-05-20,10823,,7,7,1,,,,,,,,,,2026-05-20,2026-05-20
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-05-20,40664,1,651,708,"1,0875576",,179,65,,,,,,1,2026-05-20,2026-05-20
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-05-20,42162,,284,297,"1,04577465",,79,22,,,,,,1,2026-05-20,2026-05-20
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-05-20,33473,1,276,277,"1,00362319",,124,34,,,,,,4,2026-05-20,2026-05-20
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129460603138166,2026-05-20,3868,,19,19,1,,1,1,,,,,,2,2026-05-20,2026-05-20
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129465883138166,2026-05-20,948,,3,3,1,,1,,,,,,,,2026-05-20,2026-05-20
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-05-20,67420,5,645,820,"1,27131783",,222,76,5,,,,,20,2026-05-20,2026-05-20
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377389881073016,2026-05-20,33485,1,241,256,"1,06224066",,94,34,,,,,,3,2026-05-20,2026-05-20
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-05-20,36155,2,612,622,"1,01633987",,292,87,,,,,,1,2026-05-20,2026-05-20
S03 - PD x AKIA - Message,Qrevo C Pro - 260421 - 1390050673140270,2026-05-20,597,,3,3,1,,2,1,,,,,,1,2026-05-20,2026-05-20
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134487067138166,2026-05-20,1288,,16,16,1,,7,4,,,,,,,2026-05-20,2026-05-20
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-05-20,35051,3,249,261,"1,04819277",,78,19,1,,,,,3,2026-05-20,2026-05-20
S03 - PD x MiSmart - Message,Qrevo C Pro - 260519 - 122275132910062219,2026-05-20,1974,,15,18,"1,2",,4,2,,,1,,,,2026-05-20,2026-05-20
S03 - PD x AKIA - Message,Qrevo C Pro - 260423 - 1394234822721855,2026-05-20,31355,1,166,172,"1,03614458",,33,9,,,,,,1,2026-05-20,2026-05-20
S03 - PD x MiSmart - Message,Qrevo C Pro - 260520 - 122274120008062219,2026-05-20,2501,,32,37,"1,15625",,11,2,,,,,,,2026-05-20,2026-05-20
S03 - PD x MiSmart - Message,Qrevo C Pro - 260519 - 122275507862062219,2026-05-20,34144,,254,372,"1,46456693",,54,12,,,,,,,2026-05-20,2026-05-20
S03 - PD x MiSmart - Message,Qrevo C Pro - 260520 - 122274108344062219,2026-05-20,9875,,105,126,"1,2",,15,8,,,,,,1,2026-05-20,2026-05-20
S03 - PD x MiSmart - Message,Qrevo C Pro - 260519 - 122275853762062219,2026-05-20,4326,,54,59,"1,09259259",,8,3,,,,,,,2026-05-20,2026-05-20
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134480665138166,2026-05-20,37923,5,490,514,"1,04897959",,223,86,2,1,,,,9,2026-05-20,2026-05-20
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260506 - 1448683327275182,2026-05-20,37433,3,640,725,"1,1328125",,151,38,1,2,,,,3,2026-05-20,2026-05-20
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-05-19,41520,1,1262,1327,"1,05150555",,402,142,1,,,,,5,2026-05-19,2026-05-19
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-05-19,40450,,377,391,"1,03713528",,121,27,,,,,,3,2026-05-19,2026-05-19
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377529494392388,2026-05-19,3618,,27,27,1,,5,1,,,,,,,2026-05-19,2026-05-19
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-05-19,44839,1,305,313,"1,02622951",,154,31,1,,,,,5,2026-05-19,2026-05-19
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129465883138166,2026-05-19,854,,6,6,1,,2,1,,,,,,,2026-05-19,2026-05-19
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-05-19,74900,4,828,992,"1,19806763",,252,80,2,,1,1,,18,2026-05-19,2026-05-19
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260406 - 1418641046946077,2026-05-19,4887,,105,109,"1,03809524",,37,13,,,,,,2,2026-05-19,2026-05-19
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377389881073016,2026-05-19,48553,2,251,270,"1,07569721",,120,42,1,,,,,2,2026-05-19,2026-05-19
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-05-19,36705,3,469,488,"1,04051173",,249,65,,2,,1,,4,2026-05-19,2026-05-19
S03 - PD x AKIA - Message,Qrevo C Pro - 260421 - 1390050673140270,2026-05-19,175,,2,3,"1,5",,2,1,,,,,,,2026-05-19,2026-05-19
S03 - PD x MiSmart - Message,Qrevo C Pro - 260414  - 122270673140062219,2026-05-19,36164,,333,469,"1,40840841",,78,14,1,,,,,2,2026-05-19,2026-05-19
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134480665138166,2026-05-19,27006,4,294,322,"1,0952381",,140,55,1,,,,,4,2026-05-19,2026-05-19
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-05-19,46915,3,251,269,"1,07171315",,84,31,,,,,,1,2026-05-19,2026-05-19
S03 - PD x MiSmart - Message,Qrevo C Pro - 260519 - 122275853762062219,2026-05-19,15663,,198,217,"1,0959596",,44,7,,,,,,1,2026-05-19,2026-05-19
S03 - PD x MiSmart - Message,Qrevo C Pro - 260519 - 122275132910062219,2026-05-19,21761,,248,299,"1,20564516",,58,11,1,,,,,1,2026-05-19,2026-05-19
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134487067138166,2026-05-19,35,,2,2,1,,1,,,,,,,,2026-05-19,2026-05-19
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260506 - 1448683327275182,2026-05-19,44878,,832,956,"1,14903846",,186,37,1,,,,,3,2026-05-19,2026-05-19
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260506 - 1448790803931101,2026-05-19,328,,14,15,"1,07142857",,2,1,,,,,,,2026-05-19,2026-05-19
S03 - PD x AKIA - Message,Qrevo C Pro - 260423 - 1394234822721855,2026-05-19,43582,,189,198,"1,04761905",,45,16,2,,,,,3,2026-05-19,2026-05-19
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260410 - 1426385486171633,2026-05-18,5365,,127,133,"1,04724409",,24,7,,,,,,,2026-05-18,2026-05-18
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-05-18,31950,,791,848,"1,07206068",,261,93,,,,,,2,2026-05-18,2026-05-18
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-05-18,42528,,362,379,"1,04696133",,99,28,1,,,,,3,2026-05-18,2026-05-18
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-05-18,49178,8,366,378,"1,03278689",,162,34,,1,,,,10,2026-05-18,2026-05-18
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129460603138166,2026-05-18,2795,,8,9,"1,125",,,,,,,,,,2026-05-18,2026-05-18
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-05-18,68475,4,726,908,"1,25068871",,234,76,1,,,,,8,2026-05-18,2026-05-18
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377389881073016,2026-05-18,53899,1,303,317,"1,04620462",,138,36,,,,,,4,2026-05-18,2026-05-18
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-05-18,38876,1,468,483,"1,03205128",,237,71,1,1,,,,3,2026-05-18,2026-05-18
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260406 - 1418641046946077,2026-05-18,371,,14,14,1,,2,,,,,,,1,2026-05-18,2026-05-18
S03 - PD x MiSmart - Message,Qrevo C Pro - 260414  - 122270673140062219,2026-05-18,32846,,278,395,"1,42086331",,81,20,,,,,,4,2026-05-18,2026-05-18
S03 - PD x AKIA - Message,Qrevo C Pro - 260423 - 1394234822721855,2026-05-18,47097,3,222,230,"1,03603604",,54,15,1,,,,1,4,2026-05-18,2026-05-18
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134480665138166,2026-05-18,41962,4,389,399,"1,02570694",,168,52,2,,1,1,,6,2026-05-18,2026-05-18
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260506 - 1448790803931101,2026-05-18,1265,,29,30,"1,03448276",,5,,,,,,,,2026-05-18,2026-05-18
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260506 - 1448683327275182,2026-05-18,42938,2,782,906,"1,15856777",,152,35,,,,,,2,2026-05-18,2026-05-18
S03 - PD x MiSmart - Message,Qrevo C Pro - 260423 - 122271985964062219,2026-05-18,21105,,179,209,"1,16759777",,31,6,1,,,,,2,2026-05-18,2026-05-18
S03 - PD x MiSmart - Message,Qrevo C Pro - 260420 - 122271201038062219,2026-05-18,7578,,66,76,"1,15151515",,24,7,,,,,,2,2026-05-18,2026-05-18
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-05-18,50847,2,260,272,"1,04615385",,76,14,,,,1,,4,2026-05-18,2026-05-18
S03 - PD x AKIA - Message,Qrevo C Pro - 260421 - 1392541482891189,2026-05-18,5449,,27,28,"1,03703704",,10,2,,,,,,,2026-05-18,2026-05-18
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260414 - 1386546643490673,2026-05-17,8074,,41,41,1,,15,7,,,,,,,2026-05-17,2026-05-17
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-05-17,49538,3,430,458,"1,06511628",,138,37,1,,,,,1,2026-05-17,2026-05-17
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377529494392388,2026-05-17,5415,,24,26,"1,08333333",,7,,,,,,,,2026-05-17,2026-05-17
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-05-17,41581,2,353,355,"1,00566572",,145,37,2,,,,,4,2026-05-17,2026-05-17
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129465883138166,2026-05-17,3526,1,30,31,"1,03333333",,7,4,,,,,,1,2026-05-17,2026-05-17
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-05-17,70671,4,668,835,"1,25",,194,56,4,1,,,,13,2026-05-17,2026-05-17
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377389881073016,2026-05-17,46749,3,290,314,"1,08275862",,127,45,1,,,,,3,2026-05-17,2026-05-17
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-05-17,39047,7,535,553,"1,03364486",,312,87,5,,1,,,7,2026-05-17,2026-05-17
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-05-17,42459,1,1074,1140,"1,06145251",,367,127,4,2,,,,2,2026-05-17,2026-05-17
S03 - PD x MiSmart - Message,Qrevo C Pro - 260414  - 122270673140062219,2026-05-17,6582,,48,52,"1,08333333",,6,2,1,,,,,,2026-05-17,2026-05-17
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260506 - 1448683327275182,2026-05-17,51157,2,770,873,"1,13376623",,184,32,2,,,,,6,2026-05-17,2026-05-17
S03 - PD x MiSmart - Message,Qrevo C Pro - 260420 - 122271201038062219,2026-05-17,213,,3,3,1,,2,1,,,,,,,2026-05-17,2026-05-17
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134487067138166,2026-05-17,8140,,72,73,"1,01388889",,20,9,,,,,,,2026-05-17,2026-05-17
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134480665138166,2026-05-17,37235,4,378,388,"1,02645503",,189,78,4,1,,,,4,2026-05-17,2026-05-17
S03 - PD x AKIA - Message,Qrevo C Pro - 260423 - 1394234822721855,2026-05-17,53618,2,260,267,"1,02692308",,64,19,,,,,,1,2026-05-17,2026-05-17
S03 - PD x MiSmart - Message,Qrevo C Pro - 260423 - 122271985964062219,2026-05-17,63902,1,572,722,"1,26223776",,100,31,1,,,,,3,2026-05-17,2026-05-17
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-05-17,47730,2,316,325,"1,02848101",,77,18,2,,,,,4,2026-05-17,2026-05-17
S03 - PD x AKIA - Message,Qrevo C Pro - 260421 - 1390050673140270,2026-05-17,6691,,24,26,"1,08333333",,7,1,,,,,,,2026-05-17,2026-05-17
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-05-16,27164,,678,736,"1,08554572",,227,83,2,1,,,,2,2026-05-16,2026-05-16
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-05-16,18474,,238,240,"1,00840336",,59,19,,,,,,1,2026-05-16,2026-05-16
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377529494392388,2026-05-16,155,,2,2,1,,,,,,,,,,2026-05-16,2026-05-16
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-05-16,25456,2,238,239,"1,00420168",,92,23,,,,,,2,2026-05-16,2026-05-16
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129465883138166,2026-05-16,376,,1,1,1,,,,,,,,,,2026-05-16,2026-05-16
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268787694062219,2026-05-16,76,,2,3,"1,5",,2,,,,,,,,2026-05-16,2026-05-16
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-05-16,40538,2,476,576,"1,21008403",,124,37,3,,,,,6,2026-05-16,2026-05-16
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377389881073016,2026-05-16,26551,1,201,218,"1,08457711",,75,19,,,,,,3,2026-05-16,2026-05-16
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-05-16,26185,1,303,308,"1,01650165",,165,41,,,,,,1,2026-05-16,2026-05-16
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260410 - 1426385486171633,2026-05-16,2822,,74,78,"1,05405405",,13,2,,,,,,,2026-05-16,2026-05-16
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-05-16,17816,2,165,170,"1,03030303",,32,7,,,,,,3,2026-05-16,2026-05-16
S03 - PD x MiSmart - Message,Qrevo C Pro - 260423 - 122271985964062219,2026-05-16,50442,1,498,677,"1,35943775",,92,22,1,,,,,4,2026-05-16,2026-05-16
S03 - PD x AKIA - Message,Qrevo C Pro - 260423 - 1394234822721855,2026-05-16,15250,2,114,119,"1,04385965",,29,10,,,,,,1,2026-05-16,2026-05-16
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260506 - 1448790803931101,2026-05-16,6209,,118,122,"1,03389831",,32,3,,,,,,,2026-05-16,2026-05-16
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260506 - 1448683327275182,2026-05-16,17857,2,295,334,"1,13220339",,66,13,,,,,,2,2026-05-16,2026-05-16
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134480665138166,2026-05-16,19342,,206,215,"1,04368932",,94,28,1,1,,,,3,2026-05-16,2026-05-16
S03 - PD x AKIA - Message,Qrevo C Pro - 260421 - 1392541482891189,2026-05-16,636,,7,7,1,,2,,,,,,,,2026-05-16,2026-05-16
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129465883138166,2026-05-15,857,,6,6,1,,2,1,1,,,,,,2026-05-15,2026-05-15
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377389881073016,2026-05-15,27780,2,163,185,"1,13496933",,72,25,,,,,,4,2026-05-15,2026-05-15
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-05-15,49487,2,538,628,"1,16728625",,160,41,4,,,,,13,2026-05-15,2026-05-15
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268787694062219,2026-05-15,4270,,15,17,"1,13333333",,1,,,,,,,,2026-05-15,2026-05-15
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-05-15,39338,4,869,933,"1,07364787",,251,89,1,,,,,4,2026-05-15,2026-05-15
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129460603138166,2026-05-15,1660,,17,17,1,,4,,,,,,,,2026-05-15,2026-05-15
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-05-15,34067,2,400,409,"1,0225",,175,26,2,,,,,5,2026-05-15,2026-05-15
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-05-15,29924,3,296,313,"1,05743243",,71,21,,,,,,5,2026-05-15,2026-05-15
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260410 - 1426385486171633,2026-05-15,125,,3,3,1,,,,,,,,,,2026-05-15,2026-05-15
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-05-15,33183,4,499,500,"1,00200401",,258,72,1,,,,,6,2026-05-15,2026-05-15
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134480665138166,2026-05-15,23675,1,277,294,"1,06137184",,124,47,,,,,,1,2026-05-15,2026-05-15
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260414 - 1386546643490673,2026-05-15,3266,,15,15,1,,3,,,,,,,,2026-05-15,2026-05-15
S03 - PD x AKIA - Message,Qrevo C Pro - 260423 - 1394234822721855,2026-05-15,29636,2,149,160,"1,0738255",,42,12,,,,,,2,2026-05-15,2026-05-15
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134487067138166,2026-05-15,4859,1,36,39,"1,08333333",,10,4,,,,,,1,2026-05-15,2026-05-15
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260506 - 1448683327275182,2026-05-15,28575,,384,461,"1,20052083",,70,14,,,,,,1,2026-05-15,2026-05-15
S03 - PD x MiSmart - Message,Qrevo C Pro - 260420 - 122271201038062219,2026-05-15,13489,,152,174,"1,14473684",,35,10,1,,,,,,2026-05-15,2026-05-15
S03 - PD x MiSmart - Message,Qrevo C Pro - 260423 - 122271985964062219,2026-05-15,50900,4,435,541,"1,24367816",,79,22,1,,,,,6,2026-05-15,2026-05-15
